src,dst,,
0,1,ADBE,ADP
0,17,ADBE,BIIB
0,20,ADBE,CDNS
0,21,ADBE,CDW
0,23,ADBE,CHKP
0,24,ADBE,CTAS
0,28,ADBE,CMCSA
0,39,ADBE,FTNT
0,45,ADBE,INTU
0,52,ADBE,LULU
0,53,ADBE,MAR
0,54,ADBE,MRVL
0,60,ADBE,MSFT
0,69,ADBE,ORCL
0,70,ADBE,ORLY
0,72,ADBE,PANW
0,78,ADBE,QCOM
0,83,ADBE,NOW
0,89,ADBE,TXN
1,7,ADP,AMGN
1,16,ADP,BKR
1,24,ADP,CTAS
1,25,ADP,CSCO
1,27,ADP,CTSH
1,39,ADP,FTNT
1,41,ADP,HON
1,43,ADP,IDXX
1,44,ADP,INTC
1,53,ADP,MAR
1,55,ADP,MA
1,70,ADP,ORLY
1,73,ADP,PAYX
1,82,ADP,CRM
1,83,ADP,NOW
1,87,ADP,TTWO
1,93,ADP,VRSK
1,97,ADP,WDAY
2,15,AMD,AXON
2,33,AMD,DHR
2,36,AMD,EA
2,38,AMD,FAST
2,42,AMD,IBM
2,54,AMD,MRVL
2,70,AMD,ORLY
2,78,AMD,QCOM
2,83,AMD,NOW
2,91,AMD,TMUS
2,95,AMD,V
2,97,AMD,WDAY
2,99,AMD,ZS
3,0,GOOGL,ADBE
3,1,GOOGL,ADP
3,2,GOOGL,AMD
3,6,GOOGL,AEP
3,7,GOOGL,AMGN
3,11,GOOGL,ASML
3,13,GOOGL,TEAM
3,27,GOOGL,CTSH
3,29,GOOGL,CPRT
3,30,GOOGL,CSGP
3,31,GOOGL,COST
3,36,GOOGL,EA
3,38,GOOGL,FAST
3,43,GOOGL,IDXX
3,46,GOOGL,ISRG
3,48,GOOGL,KLAC
3,50,GOOGL,LRCX
3,52,GOOGL,LULU
3,53,GOOGL,MAR
3,54,GOOGL,MRVL
3,57,GOOGL,META
3,60,GOOGL,MSFT
3,61,GOOGL,MSTR
3,62,GOOGL,MDLZ
3,75,GOOGL,PYPL
3,84,GOOGL,SHOP
3,88,GOOGL,TSLA
3,92,GOOGL,TTD
3,93,GOOGL,VRSK
3,97,GOOGL,WDAY
3,99,GOOGL,ZS
4,2,GOOG,AMD
4,3,GOOG,GOOGL
4,5,GOOG,AMZN
4,9,GOOG,AAPL
4,12,GOOG,AZN
4,14,GOOG,ADSK
4,16,GOOG,BKR
4,17,GOOG,BIIB
4,18,GOOG,BKNG
4,19,GOOG,AVGO
4,23,GOOG,CHKP
4,25,GOOG,CSCO
4,26,GOOG,CCEP
4,32,GOOG,CSX
4,33,GOOG,DHR
4,34,GOOG,DXCM
4,39,GOOG,FTNT
4,42,GOOG,IBM
4,45,GOOG,INTU
4,49,GOOG,KHC
4,51,GOOG,LIN
4,52,GOOG,LULU
4,55,GOOG,MA
4,63,GOOG,MNST
4,66,GOOG,NXPI
4,68,GOOG,ON
4,69,GOOG,ORCL
4,71,GOOG,PCAR
4,74,GOOG,PAYC
4,76,GOOG,PDD
4,78,GOOG,QCOM
4,79,GOOG,REGN
4,81,GOOG,ROST
4,82,GOOG,CRM
4,89,GOOG,TXN
4,91,GOOG,TMUS
4,92,GOOG,TTD
4,94,GOOG,VRTX
4,95,GOOG,V
5,0,AMZN,ADBE
5,4,AMZN,GOOG
5,9,AMZN,AAPL
5,13,AMZN,TEAM
5,14,AMZN,ADSK
5,17,AMZN,BIIB
5,18,AMZN,BKNG
5,30,AMZN,CSGP
5,39,AMZN,FTNT
5,43,AMZN,IDXX
5,47,AMZN,KDP
5,52,AMZN,LULU
5,53,AMZN,MAR
5,54,AMZN,MRVL
5,56,AMZN,MELI
5,60,AMZN,MSFT
5,73,AMZN,PAYX
5,82,AMZN,CRM
5,83,AMZN,NOW
5,85,AMZN,SBUX
6,0,AEP,ADBE
6,1,AEP,ADP
6,9,AEP,AAPL
6,14,AEP,ADSK
6,24,AEP,CTAS
6,32,AEP,CSX
6,35,AEP,FANG
6,36,AEP,EA
6,37,AEP,EXC
6,41,AEP,HON
6,49,AEP,KHC
6,56,AEP,MELI
6,57,AEP,META
6,61,AEP,MSTR
6,63,AEP,MNST
6,65,AEP,NVDA
6,73,AEP,PAYX
6,92,AEP,TTD
6,98,AEP,XEL
6,99,AEP,ZS
7,23,AMGN,CHKP
7,25,AMGN,CSCO
7,30,AMGN,CSGP
7,33,AMGN,DHR
7,39,AMGN,FTNT
7,41,AMGN,HON
7,53,AMGN,MAR
7,64,AMGN,NFLX
7,87,AMGN,TTWO
7,94,AMGN,VRTX
8,2,ADI,AMD
8,12,ADI,AZN
8,23,ADI,CHKP
8,24,ADI,CTAS
8,30,ADI,CSGP
8,36,ADI,EA
8,37,ADI,EXC
8,58,ADI,MCHP
8,59,ADI,MU
8,95,ADI,V
8,97,ADI,WDAY
9,0,AAPL,ADBE
9,26,AAPL,CCEP
9,34,AAPL,DXCM
9,36,AAPL,EA
9,53,AAPL,MAR
9,54,AAPL,MRVL
9,55,AAPL,MA
9,57,AAPL,META
9,59,AAPL,MU
9,60,AAPL,MSFT
9,70,AAPL,ORLY
9,73,AAPL,PAYX
9,78,AAPL,QCOM
9,83,AAPL,NOW
9,88,AAPL,TSLA
10,1,AMAT,ADP
10,9,AMAT,AAPL
10,13,AMAT,TEAM
10,18,AMAT,BKNG
10,29,AMAT,CPRT
10,34,AMAT,DXCM
10,42,AMAT,IBM
10,43,AMAT,IDXX
10,46,AMAT,ISRG
10,51,AMAT,LIN
10,52,AMAT,LULU
10,55,AMAT,MA
10,56,AMAT,MELI
10,63,AMAT,MNST
10,72,AMAT,PANW
10,74,AMAT,PAYC
10,86,AMAT,SNPS
10,95,AMAT,V
11,2,ASML,AMD
11,7,ASML,AMGN
11,10,ASML,AMAT
11,19,ASML,AVGO
11,21,ASML,CDW
11,33,ASML,DHR
11,50,ASML,LRCX
11,53,ASML,MAR
11,78,ASML,QCOM
11,84,ASML,SHOP
11,87,ASML,TTWO
11,89,ASML,TXN
11,92,ASML,TTD
12,7,AZN,AMGN
12,15,AZN,AXON
12,27,AZN,CTSH
12,31,AZN,COST
12,43,AZN,IDXX
12,53,AZN,MAR
12,55,AZN,MA
12,61,AZN,MSTR
12,91,AZN,TMUS
12,97,AZN,WDAY
13,0,TEAM,ADBE
13,7,TEAM,AMGN
13,15,TEAM,AXON
13,30,TEAM,CSGP
13,31,TEAM,COST
13,34,TEAM,DXCM
13,36,TEAM,EA
13,39,TEAM,FTNT
13,43,TEAM,IDXX
13,48,TEAM,KLAC
13,52,TEAM,LULU
13,54,TEAM,MRVL
13,56,TEAM,MELI
13,58,TEAM,MCHP
13,74,TEAM,PAYC
13,81,TEAM,ROST
13,82,TEAM,CRM
13,83,TEAM,NOW
13,86,TEAM,SNPS
13,92,TEAM,TTD
13,97,TEAM,WDAY
13,99,TEAM,ZS
14,0,ADSK,ADBE
14,12,ADSK,AZN
14,15,ADSK,AXON
14,20,ADSK,CDNS
14,21,ADSK,CDW
14,23,ADSK,CHKP
14,36,ADSK,EA
14,43,ADSK,IDXX
14,53,ADSK,MAR
14,60,ADSK,MSFT
14,83,ADSK,NOW
14,84,ADSK,SHOP
14,97,ADSK,WDAY
15,12,AXON,AZN
15,20,AXON,CDNS
15,21,AXON,CDW
15,28,AXON,CMCSA
15,33,AXON,DHR
15,39,AXON,FTNT
15,41,AXON,HON
15,45,AXON,INTU
15,46,AXON,ISRG
15,53,AXON,MAR
15,56,AXON,MELI
15,61,AXON,MSTR
15,65,AXON,NVDA
15,69,AXON,ORCL
15,73,AXON,PAYX
15,84,AXON,SHOP
15,97,AXON,WDAY
16,1,BKR,ADP
16,21,BKR,CDW
16,26,BKR,CCEP
16,28,BKR,CMCSA
16,29,BKR,CPRT
16,31,BKR,COST
16,32,BKR,CSX
16,34,BKR,DXCM
16,37,BKR,EXC
16,42,BKR,IBM
16,45,BKR,INTU
16,50,BKR,LRCX
16,53,BKR,MAR
16,55,BKR,MA
16,92,BKR,TTD
17,7,BIIB,AMGN
17,12,BIIB,AZN
17,14,BIIB,ADSK
17,25,BIIB,CSCO
17,46,BIIB,ISRG
17,53,BIIB,MAR
17,87,BIIB,TTWO
17,96,BIIB,WBD
18,21,BKNG,CDW
18,30,BKNG,CSGP
18,32,BKNG,CSX
18,36,BKNG,EA
18,37,BKNG,EXC
18,41,BKNG,HON
18,42,BKNG,IBM
18,56,BKNG,MELI
18,84,BKNG,SHOP
18,85,BKNG,SBUX
19,20,AVGO,CDNS
19,24,AVGO,CTAS
19,29,AVGO,CPRT
19,31,AVGO,COST
19,54,AVGO,MRVL
19,55,AVGO,MA
19,57,AVGO,META
19,59,AVGO,MU
19,61,AVGO,MSTR
19,64,AVGO,NFLX
19,72,AVGO,PANW
19,78,AVGO,QCOM
19,85,AVGO,SBUX
19,88,AVGO,TSLA
20,12,CDNS,AZN
20,16,CDNS,BKR
20,17,CDNS,BIIB
20,23,CDNS,CHKP
20,26,CDNS,CCEP
20,31,CDNS,COST
20,35,CDNS,FANG
20,53,CDNS,MAR
20,58,CDNS,MCHP
20,60,CDNS,MSFT
20,66,CDNS,NXPI
20,67,CDNS,ODFL
20,70,CDNS,ORLY
20,78,CDNS,QCOM
20,79,CDNS,REGN
20,86,CDNS,SNPS
20,99,CDNS,ZS
21,2,CDW,AMD
21,7,CDW,AMGN
21,9,CDW,AAPL
21,27,CDW,CTSH
21,32,CDW,CSX
21,36,CDW,EA
21,42,CDW,IBM
21,53,CDW,MAR
21,64,CDW,NFLX
21,73,CDW,PAYX
21,74,CDW,PAYC
21,85,CDW,SBUX
21,92,CDW,TTD
22,7,CHTR,AMGN
22,20,CHTR,CDNS
22,24,CHTR,CTAS
22,26,CHTR,CCEP
22,31,CHTR,COST
22,35,CHTR,FANG
22,41,CHTR,HON
22,43,CHTR,IDXX
22,64,CHTR,NFLX
22,85,CHTR,SBUX
22,90,CHTR,TMO
22,98,CHTR,XEL
23,6,CHKP,AEP
23,18,CHKP,BKNG
23,36,CHKP,EA
23,41,CHKP,HON
23,42,CHKP,IBM
23,53,CHKP,MAR
23,58,CHKP,MCHP
23,61,CHKP,MSTR
23,83,CHKP,NOW
23,84,CHKP,SHOP
23,93,CHKP,VRSK
24,5,CTAS,AMZN
24,7,CTAS,AMGN
24,25,CTAS,CSCO
24,27,CTAS,CTSH
24,31,CTAS,COST
24,32,CTAS,CSX
24,45,CTAS,INTU
24,59,CTAS,MU
24,64,CTAS,NFLX
24,83,CTAS,NOW
24,95,CTAS,V
25,7,CSCO,AMGN
25,9,CSCO,AAPL
25,14,CSCO,ADSK
25,21,CSCO,CDW
25,30,CSCO,CSGP
25,31,CSCO,COST
25,42,CSCO,IBM
25,53,CSCO,MAR
25,56,CSCO,MELI
25,73,CSCO,PAYX
25,80,CSCO,ROP
25,82,CSCO,CRM
25,85,CSCO,SBUX
25,89,CSCO,TXN
25,90,CSCO,TMO
26,7,CCEP,AMGN
26,14,CCEP,ADSK
26,18,CCEP,BKNG
26,21,CCEP,CDW
26,27,CCEP,CTSH
26,34,CCEP,DXCM
26,41,CCEP,HON
26,44,CCEP,INTC
26,60,CCEP,MSFT
26,81,CCEP,ROST
26,89,CCEP,TXN
26,91,CCEP,TMUS
26,99,CCEP,ZS
27,1,CTSH,ADP
27,9,CTSH,AAPL
27,24,CTSH,CTAS
27,25,CTSH,CSCO
27,42,CTSH,IBM
27,54,CTSH,MRVL
27,72,CTSH,PANW
27,83,CTSH,NOW
27,85,CTSH,SBUX
27,88,CTSH,TSLA
28,4,CMCSA,GOOG
28,7,CMCSA,AMGN
